York Terrace West,Q10-R10,0
York Terrace East,R10-S9,0
York Street,O11-Q11,0
York Place,Z16,0
York Gate,R10-R9,0
York Buildings,Z16,0
York Bridge,R8-R9,0
Yarmouth Place,T18,0
Wythburn Place,P13,0
Wyndham Yard,O12-P12,1
Wyndham Street,O11-P11,1
Wyndham Place,P11-P12,1
Wyndham Mews,P12,1
Wymering Road,G7-G8,0
Woronzow Road,M3-N4,0
Woodstock Street,S14-T14,0
Woodstock Mews,S11,0
Woodfield Road,E10,0
Woodfield Place,E10-E9,0
Woodchester Square,G10-H10,0
Wood's Mews,Q15,0
Winsley Street,V13,0
Winsland Street,L13,0
Winsland Mews,L13,0
Winnett Street,W15-X15,0
Windsor Place,V22,0
Windsor Gardens,F10,0
Winchester Street,T24-U25,0
Wimpole Street,S11-T13,0
Wimpole Mews,S11,0
Wilton Terrace,Q20,1
Wilton Street,S20-S21,1
Wilton Row,Q19-R20,1
Wilton Road,U22-V23,1
Wilton Place,Q19-Q20,1
Wilton Mews,S20-S21,1
Wilton Crescent,Q20-R20,1
Wilson House,M12-M13,1
Wilson College,X13,1
Willow Place,V22-V23,-1
William Street,P19,1
William Mews,P19-Q20,1
William IV Street,Y16-Z16,1
Wilfred Street,U21-V20,1
Wild Street,AA13-AA14,0
Wilcox Place,V21-V22,0
Wilberforce Primary School,C6,0
Wigmore Street,R13-T12,0
Wigmore Place,S12-T13,0
Widley Road,F8-G8,0
Whittaker Street,Q24,0
Whitehaven Street,M10-N10,0
Whitehall Place,Y18-Z17,0
Whitehall Gardens,Y18-Z18,0
Whitehall Court,Z17-Z18,0
Whitehall,Y17-Y19,0
Whitehall,Y19,0
White Horse Street,T17-T18,0
White Cube Gallery,V17,0
Whitcomb Street,X15-X16,0
Whitcomb Court,X16,0
Wheatley Street,S11,0
Weymouth Street,R11-U11,0
Weymouth Mews,T11,0
Wetherby Preparatory School,P13,0
Westway,E10-N11,0
Westmoreland Terrace,T25-T26,0
Westmoreland Street,S11-S12,0
Westmoreland Place,T25-T26,0
Westminster Under School,W24,0
Westminster School,Y21,0
Westminster Reference Library,X16,0
Westminster Quaker Meeting House,Y15,0
Westminster Kingsway College goods entrance,W22,0
Westminster Kingsway College,W14,0
Westminster Kingsway College,W22,0
Westminster City School,V21,0
Westminster City Hall,V21,0
Westminster City Council - Lisson Grove,L8-M8,0
Westminster City Archives,X21,0
Westminster Chapel,V20-V21,0
Westminster Cathedral,V22,0
Westminster Bridge,AA20-Z20,0
Westminster Baptist Chapel,X22,1
Westminster Abbey,Y20,-1
Western Mews,D9-E10,0
Western Marble Arch Synagogue,P13,0
Westbourne Terrace Road Bridge,I11,0
Westbourne Terrace Road,I11,0
Westbourne Terrace Mews,J12-J13,0
Westbourne Terrace,H11-K14,0
Westbourne Street,L14-L15,0
Westbourne Park Villas,F11-H12,0
Westbourne Park Road,E12-H12,0
Westbourne Park Passage,G12,0
Westbourne Park Baptist Church,H12,1
Westbourne Grove Terrace,H13,0
Westbourne Grove Church,E13-E14,0
Westbourne Grove,F13-H13,0
Westbourne Gardens,G13-H12,0
Westbourne Crescent,K14,0
West Warwick Place,U24,0
West Street,Y14,0
West Mews,U24,0
West London Synagogue of British Jews,O13-P13,0
West London College,R14,0
West London Buddhist Centre,H12,0
West Halkin Street,Q20-Q21,0
West End Central Police Station,U15,0
West Eaton Place Mews,Q22,0
West Eaton Place,Q22,0
West Carriage Drive,L19-M15,0
Wesley Street,S11,1
Wells Street,U12-V13,0
Wells Rise,P4,0
Wells Mews,V12-V13,0
Wellington Terrace,G16,0
Wellington Street,AA14-AA15,0
Wellington Road,L5-N7,0
Wellington Place,M6,0
Wellington Close,E13,0
Wellesley Court,I6-J7,0
Well's Way,K21,0
Welbeck Way,S12,0
Welbeck Street,S12-S13,0
Weighhouse Street,S14,0
Wedgwood Mews,X14,0
Way of the Monks,Y21,0
Waverton Street,S16-S17,0
Waverley Place,K4-L5,0
Watson's Mews,N12-O12,0
Waterloo Place,W16-X17,0
Waterloo Bridge,AB15-AB16,0
Watergate Walk,Z16-Z17,0
Water Street,AC15,0
Warwick Way,S24-V23,0
Warwick Street,V15,0
Warwick Square Mews,U24,0
Warwick Square,U24-U25,0
Warwick Row,U21,0
Warwick Place North,U24,0
Warwick Place,I10-J10,0
Warwick House Street,X17,0
Warwick Crescent,I11-J11,0
Warwick Avenue,H9-J11,0
Warrington Gardens,I10-I9,0
Warrington Crescent,I10-J8,0
Warren Court,E9,1
Warlock Road,E8-F9,0
Wardour Street,W13-X15,0
Wardour Mews,W13-W14,0
Walterton Road,E9-F8,0
Walpole Mews,L4,0
Walmer Street,O11,0
Walmer Place,O11,0
Walkway,K21-L21,0
Walker's Court,W14-W15,1
Walcott Street,V23,0
Violet Hill,J5-J6,-1
Vine Street,V16,0
Vincent Street,W23-Y23,1
Vincent Square,W22-W24,1
Villiers Street,Z16-Z17,0
Vigo Street,V15-V16,0
Victoria Subway,R19-S19,-1
Victoria Street,T22-X20,-1
Victoria Square,T21,-1
Victoria Sqaure,T21,-1
Victoria Passage,L8-L9,-1
Victoria Music Library,S23,-1
Victoria Library,S23,-1
Victoria Grove Mews,G15,-1
Victoria Embankment,AC15-Z20,-1
Vere Street,S13-T14,0
Verdi Crescent,C6,-1
Venice Walk,J11-K11,0
Venables Street,L10-M10,0
Vauxhall Bridge Road,U22-X25,0
Vauxhall Bridge Road,V23,0
Vauxhall Bridge,X25-Y26,0
Vane Street,V23-W23,0
Vandon Street,V21-W21,0
Vandon Passage,V20-W21,0
Vale Close,J7,0
Upper Wimpole Street,S11,0
Upper Tachbrook Street,V23,0
Upper Saint Martin's Lane,Y14-Y15,2
Upper Montagu Street,P10-P12,0
Upper John Street,V15,1
Upper James Street,V15,1
Upper Grosvenor Street,Q16-R15,0
Upper Brook Street,Q15-R15,0
Upper Berkeley Street,O13-Q13,0
Upper Belgrave Street,R20-S21,0
Upbrook Mews,J13-K14,0
Unwin Road,L20-L21,0
University of Westminster,Q10-R10,0
University of Westminster,T12-U13,0
University of Westminster,U11-V11,0
University of Westminster,U12,0
United Synagogue,H5,0
Union Court,F10,0
Ulster Terrace,S9,0
Ulster Place,S10-S9,0
Ukranian Catholic Cathedral of The Holy Family in Exile,S14,0
Udall Street,V23-W23,0
Tyler's Court,W14,-1
Tyburn Way,P14,0
Tyburn Convent,O14,0
Tweezer's Alley,AC15,0
Turpentine Lane,T25-T26,1
Tufton Street,Y21-Y22,0
Triangle Carpark,M17,0
Trevor Walk,O20,1
Trevor Street,O19-O20,1
Trevor Square,O20,1
Trevor Place,N19-O20,1
Tresham Crescent,N8-N9,0
Trebeck Street,S17-T17,0
Treasury Passage,Y18,0
Treasury Green,Y18-Y19,0
Transept Street,N11-N12,0
Trafalgar Square,Y16-Y17,0
Townshend Road,N3-O5,0
Townshend Estate,N4-N5,0
Tottenham Court Road,X12-X13,0
Tothill Street,W20-X20,0
Torquay Street,G11,0
Tollgate Gardens,G4,0
Tolhurst Drive,C6,0
Titchfield Road,O4,0
Titchborne Row,N13-N14,0
Tisbury Court,W14-W15,0
Tilney Street,R17-S17,0
Three Kings Yard,S15,0
Thornton Place,P11,0
Thorngate Road,G9,0
Thorney Street,Y22-Z23,0
Thorndike Street,W24,0
Thirleby Road,V21-V22,0
Third Church of Christ Scientist London,T17,0
Third Avenue,B6-C8,0
The Swedish Church,O11,0
The St Marylebone School,R10,0
The Sanctuary,X20-Y20,0
The Salvation Army Regent Hall,U13-U14,0
The Royal Mews,T20-U21,1
The Royal Horticultural Halls,W22,1
The Royal College of Nursing,T13,1
The Rolling Bridge,L12,0
The Playhouse Nursery,H6,0
The Old Police House,N16-O16,0
The Nags Head,Z14,0
The Marlowes,L2-L3,0
The Mall,V19-Y17,-1
The Little House Day Nursery and School,W23,0
The Liberal Jewish Synagogue,M7-M8,0
The Lane,I5-J5,1
The Courtauld Institute of Art,AB15,1
The Church of the Annunciation,P14-Q14,0
The Chapel of the House of St Barnabas-in-Soho,X13,0
The Broadwalk,O15-R18,0
The Broad Walk,H15-I19,0
The Arches,Z16-Z17,0
The Academy,V13,0
Thayer Street,R12,0
Terminus Place,T22-U22,0
Tenterden Street,T14,0
Tenniel Close,I14,0
Tenison Court,V14-V15,0
Temple Stairs,AC15,0
Temple Place,AB15-AC15,0
Tavistock Street,AA14-Z15,0
Tavistock Road,D11-E11,0
Tavistock Crescent,D11-E11,0
Tavistock Court,AA15,0
Taunton Place,O9-P9,0
Taunton Mews,O10-P10,0
Tatham Place,L4,0
Tarrant Place,O11,1
Talbot Square,L13-L14,1
Talbot Road,E13-G12,1
Tachbrook Street,V23-W25,0
Tachbrook Nursery School,X26,0
Tachbrook Mews,V23,0
Tachbrook Estate,W26,0
Symphony Mews,B6,0
Sylvia Young Theatre School,O12,-2
Sycamore Walk,A8-B8,0
Sycamore Lodge,F10,0
Swiss Court,X15,0
Swallow Street,V16,0
Swallow Place,U13-U14,0
Swain Street,N8,0
Sutton Row,X13,0
Sutherland Street,S24-U26,1
Sutherland Row,T25,1
Sutherland Place,F12-F13,1
Sutherland Avenue,F10-J7,1
Sussex Street,T26-U25,0
Sussex Square,L14,0
Sussex Place,M14-P8,0
Sussex Mews West,L14,0
Sussex Mews East,L14-M14,0
Sussex Gardens,L14-N12,0
Surrey Street,AB14-AB15,0
Surrendale Place,G9,0
Sunderland Terrace,G13,0
Suffolk Street,X16,0
Suffolk Place,X16,0
Studio Place,Q19,0
Strutton Ground,W21-W22,0
Stratton Street,U16-U17,1
Strathearn Place,M14,0
Stratford Place,S13-S14,0
Strand Underpass,AB14-AB16,0
Strand Lane,AB15,1
Strand,AC14-Y17,0
Stourcliffe Street,O13,0
Storey's Gate,X19-X20,0
Stockleigh Hall,O4,0
Stillington Street,V22-V23,0
Sterling Street,N20,1
Stephen Street,W12,1
Star Yard,AC13,0
Star Street,M13-N12,0
Stansbury Square,C6,0
Stanhope Terrace,L15-M14,0
Stanhope Row,S17-S18,0
